Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-01-29,24.781359167899378,24.781359167899378,24.658068823780475,24.76374626159668,1003200,29,4,4,1,1993
1993-02-01,24.781337649135267,24.93985366821289,24.781337649135267,24.93985366821289,480500,1,0,5,2,1993
1993-02-02,24.922256597420798,25.010321108365748,24.86941789085383,24.992708206176758,201300,2,1,5,2,1993
1993-02-03,25.02792739735155,25.274507962842698,25.010314499816467,25.256895065307617,529400,3,2,5,2,1993
1993-02-04,25.34496644337972,25.415418052673342,25.06316000620524,25.362579345703125,531500,4,3,5,2,1993
1993-02-05,25.34495735168457,25.39779603970059,25.20405418364185,25.34495735168457,492100,5,4,5,2,1993
1993-02-08,25.34495735168457,25.433021831711272,25.309731559673892,25.34495735168457,596100,8,0,6,2,1993
1993-02-09,25.256891532241255,25.256891532241255,25.115988371670873,25.168827056884766,122100,9,1,6,2,1993
1993-02-10,25.168839515296835,25.221678226665546,25.09838790013855,25.204065322875977,379600,10,2,6,2,1993
1993-02-11,25.23928611500704,25.43302801819272,25.23928611500704,25.327350616455078,19500,11,3,6,2,1993
1993-02-12,25.292110525985322,25.292110525985322,25.133594512939453,25.133594512939453,42500,12,4,6,2,1993
1993-02-16,25.0631589005098,25.0631589005098,24.464320247932616,24.49954605102539,374800,16,1,7,2,1993
1993-02-17,24.49955031305766,24.534776122278448,24.393872885395297,24.481937408447266,210900,17,2,7,2,1993
1993-02-18,24.763732750867234,24.763732750867234,24.129668469906196,24.464313507080078,378100,18,3,7,2,1993
1993-02-19,24.464301815333975,24.552366256713867,24.429076038782018,24.552366256713867,34900,19,4,7,2,1993
1993-02-22,24.622848058104772,24.675686787843194,24.55239641845354,24.640460968017578,513600,22,0,8,2,1993
1993-02-23,24.710892006051385,24.728504901280218,24.499537263305402,24.622827529907227,373700,23,1,8,2,1993
1993-02-24,24.640434521066265,24.93985366821289,24.640434521066265,24.93985366821289,26300,24,2,8,2,1993
1993-02-25,24.922256597420798,25.010321108365748,24.86941789085383,24.992708206176758,44500,25,3,8,2,1993
1993-02-26,25.04554602229033,25.04554602229033,24.904642809787994,25.02793312072754,66200,26,4,8,2,1993
1993-03-01,25.115995578052463,25.115995578052463,24.922253676678988,24.95747947692871,66500,1,0,9,3,1993
1993-03-02,24.975092610662934,25.327350616455078,24.939866810083718,25.327350616455078,182400,2,1,9,3,1993
1993-03-03,25.36256425598652,25.450628715208694,25.327338472297647,25.433015823364258,280100,3,2,9,3,1993
1993-03-04,25.46824894907747,25.46824894907747,25.2921199798584,25.2921199798584,89500,4,3,9,3,1993
